username,userid,profile_location,created_at,text,retweet_count,source,coordinates
GLOCK 13 🇵🇭,285476505,"San Jose, CA",2023-01-24 03:37:04,That Seahawks fan kinda weird. Muted.,0,Twitter for iPhone,
Lev 🔜Opening Day,997344583632613376,"San Francisco, CA",2023-01-24 01:13:37,@McneilWebster 5 is still more than 1 my man. Seahawks have been to a total of 3 and are 1/3. The Niners are 5/7… e… https://t.co/vt4KtVi39P,0,Twitter for iPhone,
Brad Kitson,28607764,"Castro Valley, CA",2023-01-24 00:05:07,"@VishKumaran @BillyM_91 Almost as good as the one that Aiyuk dropped in the back of the end zone against the Seahawks.

(I'm kidding.)",0,Twitter for Android,
Teejay,53582905,"San Francisco, CA",2023-01-23 22:50:47,"I noticed that.

- When we beat the Seahawks, barely anything.
- When we beat Dallas, all about Dak.
- Now they’re… https://t.co/xleFyO1Hlq",0,Twitter for iPhone,
𝕁𝕦𝕒𝕟 𝕄𝕒𝕟𝕦𝕖𝕝 ℝ𝕖𝕪𝕖𝕤 𝕁𝕣.,334814800,"Watsonville, CA",2023-01-23 21:35:42,Seahawks overmatched by dominant West Valley squad | College basketball https://t.co/uua5LeeM7d via @pajaronian,0,Twitter Web App,
Sky Mullenaux,33360872,"Campbell, CA",2023-01-23 18:50:16,@MjBaby23 Yes I am an 80s kid but I moved up to Oregon 7 years ago and hearing we are the 12s everyday has made me… https://t.co/djP6Ieq7qT,0,Twitter for iPhone,
Sterling Bennett,2320045344,"San Francisco, CA",2023-01-23 18:49:53,"The #49ers sent Kliff Kingsbury to Thailand, ended the Seahawks season, and may have ended Dak Prescott’s tenure in… https://t.co/rbVLxIlREu",0,Twitter for iPhone,
GRAPHICARTIST,1082137096662347778,BAY AREA,2023-01-23 17:34:16,fresh art made of @49ers  legend @PatrickWillis52 #patrickwillis #ers #whodoyoucollect #footballcards #madden… https://t.co/iHlb6NDD8S,0,Twitter for iPhone,
Joseph Estevez - EMI Sports Central,834430350,San Francisco,2023-01-23 17:04:54,@JohnWFIncite @AlfredoGlezGL @GavinGeddes7 @gbgirl3333 @ChadGravesMedia @GrayDa45072675 @EveryRightTo… https://t.co/rtNyGFscW2,0,Twitter Web App,
Santa Cruz Seahawks Fan,359175522,"Santa Cruz, CA",2023-01-23 16:51:06,@SageRosenfels18 I’m a @Seahawks fan and hate the @49ers but I gotta tell ya.. I like this kid @brockpurdy13 fun to watch,0,Twitter for iPhone,
Ted H🎙Truth Signaller,1189413092909666309,"San Francisco, CA",2023-01-23 15:44:32,"@YL_Theplug @Lphs01 @kjcollins75 @David_Ray81 1) Dolphins (not whole game)
2) Bucs
3) Seahawks
4) Commanders
5) Rai… https://t.co/q0EkRLcGJq",0,Twitter Web App,
Flaming Sword of Truth™,124910348,"Berkeley, California",2023-01-23 15:11:48,@ritaoak_art @NFL @49ers @JimmyG_10 @Seahawks Art should be joy not a chore.,0,Twitter for iPad,
Kraiggy Kanoekole F.,721159110,"Nob Hill, San Francisco",2023-01-23 12:17:32,"@JamieErdahl  aloha Jamie, you’re wrong again with you bet first it was the Seahawks now it’s the Cowboys. Go San Francisco 49ers!",0,Twitter for iPhone,
510maleake,1002977161202921472,"Oakland, CA",2023-01-23 08:25:40,"@timkawakami 4-0 in the playoffs there too, impressive. Vikings, Pack, Seahawks  and Cowboys today",0,Twitter for iPhone,
Toxic 49er Fan,1193722157433532416,"San Francisco, CA",2023-01-23 08:15:48,"@Shawks30 @DJackFOX13 @MikeDugar No one is gonna read all that, geno and the whole Seahawks roster are terrible. Poverty franchise.",0,Twitter for iPhone,
Toxic 49er Fan,1193722157433532416,"San Francisco, CA",2023-01-23 07:59:11,"@savino_dominick @Seahawks Don’t care, have championship football to worry about.",0,Twitter for iPhone,
Eric Klein,14336874,Burlingame CA,2023-01-23 06:49:33,@IceCreamJudas It was really wild at the game..first half. Bunch of fans talking trash..”we ain’t the Seahawks”..th… https://t.co/jphhamBwLC,0,Twitter for iPad,
Tati Fuego,53244906,San Francisco,2023-01-23 06:02:51,Bitch we beat the seahawks and cowboys back to back.. what rivalries???,0,Twitter for iPhone,
Matt Vinson,1357717689616142337,"San Francisco, CA",2023-01-23 04:37:21,@fed_speak Seahawks fan here: Can’t wait. LFG Eagles,0,Twitter for iPhone,
D.O.P.,1270625763734089729,"San Jose, CA",2023-01-23 04:14:32,@Ezmoneyjones_ See the Seahawks player twisted deboo leg and now this?,0,Twitter for iPhone,
TTP JOEY B RCJH,1492173324226482178,"San Francisco, CA",2023-01-23 04:04:43,"@infatuation_xo @coachmox @espn Chiefs played the Jags 

Eagles played the Giants

Niners played the Seahawks and D… https://t.co/UZtNaRe2dj",0,Twitter for iPhone,
Kevin Kiermaier's Biggest Fan ,531921530,"San Francisco, CA",2023-01-23 03:52:38,Example 1: Seahawks game in Wild Card round - Jimmie Ward 15-yard penalty on Geno Smith. The 49ers do eventually wi… https://t.co/HWA629ycic,0,Twitter Web App,
Kimo,539755320,"South San Francisco, CA",2023-01-23 03:34:17,Cowboys and Raiders/Seahawks fans coming together to root for the Eagles. https://t.co/XMlvjjcjYe,0,Twitter for iPhone,
jay (13-4),1605026220004954112,"San Francisco, CA",2023-01-23 03:15:51,@gsauce99 @NFL @49ers lmfao they still won? why does it matter 😭 youre watching the playoffs on your couch cuz the niners beat the seahawks,0,Twitter for iPhone,
John Baptiste Philouza,508048711,San Francisco ,2023-01-23 03:05:57,@zjwhitman The Seahawks have gone from the AFC to the NFC one time since the 49ers last championship #truefacts,0,Twitter Web App,
Marcus Salgado,3009724658,"Gilroy, CA",2023-01-23 02:58:24,"Raider fans been Seahawks fans , Cowboys fans , and now they Eagles fans 😭 lol love the dedication",1,Twitter for iPhone,
Rebecca Bodenheimer,2942795488,"Oakland, CA",2023-01-23 02:51:27,I can’t tell you how good it feels as a Gen X Niners fan to beat both the Seahawks and the Cowboys in the… https://t.co/EqR9NUgcN3,0,Twitter for iPhone,
Brian Murphy,116023738,"San Francisco, CA",2023-01-23 01:11:12,"Don't forget, y'all -- Seahawks were winning at halftime last week! 😎",1,Twitter Web App,
sif,789966608126971904,"Fremont, CA",2023-01-23 00:57:40,@JustAnotherPog @HardenBettr You mean the other way around but yeah shameless to have Seahawks beating niners and eagles,0,Twitter Web App,
RRP,724678700969562113,"Oakland, CA",2023-01-23 00:40:40,"@jenniferleechan Not playing the Rams, Seahawks, Cardinals. Or the Raiders.",0,Twitter for iPhone,
Niner Noise,18033593,"San Francisco, CA",2023-01-23 00:31:03,"The #49ers are without a pass-rusher who notched two sacks in the win over the #Seahawks last week. 

Charles Omeni… https://t.co/0bONt8b870",1,Twitter Web App,
2vili,1218174920,"San Francisco, CA",2023-01-22 20:55:50,@itssmele SEAHAWKS ALL DAY ERRYDAY BABYYYY 😬😬🤣🤣,0,Twitter for iPhone,
R 🇫🇷🇲🇽🚬🫵🏽,1558132254081134593,"San Francisco, CA",2023-01-22 17:59:12,"Rodgers to the raiders 
Tom to the jets 
Lamar to the falcons 
Lance to the Seahawks",0,Twitter for iPhone,
Nathan Milewski,416046718,"Alameda, CA",2023-01-22 08:24:42,"@MikehassmallCoq @therealJL41 @RonboSports That was at the beginning of the season, it ended up being ranked one of… https://t.co/WggprYBnSK",0,Twitter for iPhone,
Daniel Wayne,389242670,"San Francisco, CA",2023-01-22 05:45:23,@hilljohng @hawkblogger Was he tho? Look at his contract and at his sack numbers. If we were paying him $20 million… https://t.co/iQMSBW3Sid,0,Twitter for iPhone,
Hannibal Thompson,100660910,"San Francisco, CA",2023-01-22 05:27:37,@yallhellalame 🤣 they run read option allll game. In 50 years that’s never won a SB. I’m glad i really sat and watc… https://t.co/MfpB3rGX1f,0,Twitter for iPhone,
Bay Area Sports Addiction,1526056965515776000,"San Francisco, CA",2023-01-22 05:15:56,"On today’s episode:

- recap of the 49ers-Seahawks Wildcard game
- deep dive into the 49ers-Cowboys playoff rivalry… https://t.co/FSTrAfarFA",0,Twitter for iPhone,
JoeyAction,2905573627,San Jose CA,2023-01-22 04:21:51,@realManiAiyer @locconsulting @RealSkipBayless And the niners played the seahawks 😂 plus a powderpuff season,0,Twitter for iPhone,
Joseph Estevez - EMI Sports Central,834430350,San Francisco,2023-01-22 02:44:27,@gmf1369 @ha17684791 @kepi1107 @maestrotimothy @ItohanUdoffa @adetunji_funse @OthmerBarbara @Liftoffjets… https://t.co/mBEj5LdPv8,1,Twitter Web App,
Grant Cohn,194352411,Oakland,2023-01-22 02:41:35,Because I’m a Seahawks fan and I love Geno Smith. https://t.co/cgVKiMmp8C,0,Twitter for iPhone,
Josh Dubow,38617573,"Alameda, CA",2023-01-22 02:40:49,"Most lopsided 1st half shutouts in playoff game:
#Raiders 35, Oilers 0, 12/21/69
Giants 34, Vikings 0, 1/14/01
Pant… https://t.co/eZx6k38S1f",1,Twitter Web App,
